name,image,,,,,,,,,,,,
Michael Bracewell,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/62325.png,,,,,,,,,,,,
Mitchell Santner,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57903.png,,,,,,,,,,,,
Rachin Ravindra,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66053.png,,,,,,,,,,,,
Devon Conway,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/13177.png,,,,,,,,,,,,
Finn Allen,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66046.png,,,,,,,,,,,,
Ish Sodhi,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/57625.png,,,,,,,,,,,,
Lockie Ferguson,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63719.png,,,,,,,,,,,,
Matt Henry,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/60544.png,,,,,,,,,,,,
Tim Southee,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4235.png,,,,,,,,,,,,
Trent Boult,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4338.png,,,,,,,,,,,,
Max O'Dowd,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65585.png,,,,,,,,,,,,
Michael Levitt,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/107562.png,,,,,,,,,,,,
Teja Nidamanuru,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68002.png,,,,,,,,,,,,
Vikramjit Singh,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/73256.png,,,,,,,,,,,,
Bas de Leede,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67717.png,,,,,,,,,,,,
Logan van Beek,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/10176.png,,,,,,,,,,,,
Sybrand Engelbrecht,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/4359.png,,,,,,,,,,,,
Scott Edwards,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67919.png,,,,,,,,,,,,
Wesley Barresi,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/9876.png,,,,,,,,,,,,
Aryan Dutt,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/81030.png,,,,,,,,,,,,
Kyle Klein,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/112100.png,,,,,,,,,,,,
Paul van Meekeren,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63893.png,,,,,,,,,,,,
Saqib Zulfiqar,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67421.png,,,,,,,,,,,,
Tim Pringle,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/72579.png,,,,,,,,,,,,
Vivian Kingma,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63937.png,,,,,,,,,,,,
Kushal Bhurtel,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66128.png,,,,,,,,,,,,
Rohit Paudel,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68435.png,,,,,,,,,,,,
Sundeep Jora,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70245.png,,,,,,,,,,,,
Dipendra Singh Airee,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66061.png,,,,,,,,,,,,
Gulsan Jha,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/87400.png,,,,,,,,,,,,
Kushal Malla,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70515.png,,,,,,,,,,,,
Aasif Sheikh,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/67193.png,,,,,,,,,,,,
Anil Sah,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/68436.png,,,,,,,,,,,,
Abinash Bohara,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70514.png,,,,,,,,,,,,
Kamal Airee,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70238.png,,,,,,,,,,,,
Karan KC,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65314.png,,,,,,,,,,,,
Lalit Rajbanshi,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/45117.png,,,,,,,,,,,,
Pratis GC,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/72478.png,,,,,,,,,,,,
Sagar Dhakal,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/70244.png,,,,,,,,,,,,
Sandeep Lamichhane,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/66066.png,,,,,,,,,,,,
Sompal Kami,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/64545.png,,,,,,,,,,,,
Malan Kruger,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/63175.png,,,,,,,,,,,,
Michael van Lingen,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg/prd/assets/players/6122/65992.png,,,,,,,,,,,,
